"","Fe_mg_L","Mn_mg_L","Cu_mg_L","Zn_mg_L","Si_mg_L","K_mg_L","P_mg_L","Mg_mg_L","Na_mg_L","Al_mg_L","Ca_mg_L","Fl_mg_L","Cl_mg_L","NO2_mg_L","Br_mg_L","NO3_mg_L","PO4_mg_L","SO4_mg_L","dD","d18O"
"Fe_mg_L",1,0.381864535493138,0.0102061794873229,0.302432317247038,0.0646336070178769,0.0222610021435566,0.271070434386297,-0.0388756080645677,-0.0111474448459576,0.381845723840738,0.148807358206925,-0.109090294459279,-0.145300941826041,-0.117328066910406,NA,-0.243772404132108,0.361811404249547,-0.0550560347428629,0.0500058877797831,0.124786392766928
"Mn_mg_L",0.381864535493138,1,-0.390747668453067,0.414605670538738,0.625597490463007,-0.11151509609149,0.127038708334667,0.699151003241206,0.767427971422116,-0.470105132970493,0.781327576254976,-0.400894078928425,0.464573124463488,0.720562545122388,NA,-0.098477272324197,0.387700244094618,0.78490265284983,0.46041012940758,0.517782159656925
"Cu_mg_L",0.0102061794873229,-0.390747668453067,1,0.0220990069999056,-0.284476946915331,0.743258155383367,0.471243303203488,-0.608185069968217,-0.640789180427124,0.353047644146519,-0.445160764466341,0.631209350545912,-0.328114829891672,-0.407693492350824,NA,0.386584206407931,-0.697570209283445,-0.33814301383571,-0.688847804951609,-0.642046244266008
"Zn_mg_L",0.302432317247038,0.414605670538738,0.0220990069999056,1,0.513601252197931,0.124028358063211,0.167441272145688,0.269019314744181,0.251853925181702,-0.0204398872019748,0.319166091712346,0.0151394934564778,0.184488871902218,-0.067819257314014,NA,-0.0535537663044191,-0.216496986327155,0.408691006763426,0.417552475783427,0.483838980783689
"Si_mg_L",0.0646336070178769,0.625597490463007,-0.284476946915331,0.513601252197931,1,-0.176537550848438,-0.181169079263882,0.693526647605231,0.668114986242453,-0.512243787338431,0.704820613424937,-0.334679922872089,0.46757747555906,0.256814820703385,NA,0.0710795854090586,-0.0459474488133144,0.828016118126233,0.529509913691595,0.529635182100072
"K_mg_L",0.0222610021435566,-0.11151509609149,0.743258155383367,0.124028358063211,-0.176537550848438,1,0.826535527665514,-0.31833203092755,-0.365575696146087,0.428169767899196,-0.223592662102061,0.657271238497129,-0.0245846717915013,-0.322260697659389,NA,0.589741374951881,-0.754005142511991,-0.0990442830967546,-0.646655400702414,-0.535373111159902
"P_mg_L",0.271070434386297,0.127038708334667,0.471243303203488,0.167441272145688,-0.181169079263882,0.826535527665514,1,-0.193304707406794,-0.240833651381715,0.501381783374882,-0.0682940555868825,0.271570955038051,-0.0730599074267318,-0.176212654128205,NA,0.292349696395316,-0.403492478989488,-0.0839530159335724,-0.477468017470703,-0.356334573737317
"Mg_mg_L",-0.0388756080645677,0.699151003241206,-0.608185069968217,0.269019314744181,0.693526647605231,-0.31833203092755,-0.193304707406794,1,0.964636208316515,-0.585270002817891,0.909337028844474,-0.231885179146306,0.869730314158832,0.356567527586594,NA,0.187778052939218,0.456912894093108,0.801510767076361,0.622302012945131,0.619846969085176
"Na_mg_L",-0.0111474448459576,0.767427971422116,-0.640789180427124,0.251853925181702,0.668114986242453,-0.365575696146087,-0.240833651381715,0.964636208316515,1,-0.664622813773945,0.89999649471539,-0.389606484659596,0.806121630450953,0.581385312017962,NA,0.0421790395916623,0.527825772363601,0.852424081591714,0.653388622648157,0.659365133802544
"Al_mg_L",0.381845723840738,-0.470105132970493,0.353047644146519,-0.0204398872019748,-0.512243787338431,0.428169767899196,0.501381783374882,-0.585270002817891,-0.664622813773945,1,-0.611097947699615,0.226704255152165,-0.421650925038219,-0.682756144051638,NA,0.00327504596279519,-0.0806901496399904,-0.705363461699647,-0.407066040566462,-0.343640138966362
