Sample ID,Site,Date,Time,Type,Type2,Index-notes,d18O,dD,HCO3_mg_L,Cl_mg_L,SO4_mg_L,Si_mg_L,Na_mg_L,Mg_mg_L,K_mg_L,Ca_mg_L,Mn_mg_L,ICP-notes
PR-12253,PR Soapstone,10/28/2015,12:00,Grab,Stream,MED added artificial times and type assignments,-14.98,-114.2,26.5092789360173,1.6089,2.0691,1.23018672915639,1.1037450855384,1.59136811796594,0.303036100317583,5.54005908863907,0.00980285248290075,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12254,PR Woodland,10/28/2015,12:00,Grab,Stream,MED added artificial times and type assignments,-15.4,-122.8,109.2,3.311,15.9377,4.08199529492997,2.80017308338478,7.13260856162557,0.866217722357928,24.6668089986416,0.00617758132111949,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12255,PR Hailstone,10/28/2015,12:00,Grab,Stream,MED added artificial times and type assignments,-15.79,-121.4,105.286414376321,6.7938,12.5783,5.36006944308025,4.65080198246918,6.69223925135614,1.02305256904255,22.9872579139724,0.0237733992248409,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12276,PR Soapstone,11/24/2015,12:00,Grab,Stream,MED added artificial times and type assignments,-15.09,-115.7,13.3,1.9631,2.4956,1.394,1.20997156504985,1.13553255663278,0.282030926561514,3.14609252360338,0.00756367144338419,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12277,PR Woodland,11/24/2015,12:00,Grab,Stream,MED added artificial times and type assignments,-15.64,-124.4,111.5,3.231,15.201,4.142,2.96097726986285,7.26649678354572,0.816618187771156,26.8975439408398,0.00675448709854107,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12278,PR Hailstone,11/24/2015,12:00,Grab,Stream,MED added artificial times and type assignments,-16.5,-123.8,137.4,6.1798,13.9043,4.688,4.31721240869589,7.9447948496239,0.905185824760946,27.6047165738758,0.0268786248856865,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12317,PR Soapstone,01/14/2016,12:00,Grab,Stream,MED added artificial times and type assignments,-15.77,-117.7,14.7,1.67715,2.49065,1.619,1.25843796026819,1.15334553576956,0.349680504182384,3.21431039502083,0.00658797534237595,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12318,PR Woodland,01/14/2016,12:00,Grab,Stream,MED added artificial times and type assignments,-15.85,-124.4,112.5,3.5027,16.62265,4.5,2.87838169036967,6.95696562630472,0.822799398160166,26.1957969265683,0.00616872178019691,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12319,PR Hailstone,01/14/2016,12:00,Grab,Stream,MED added artificial times and type assignments,-15.69,-124.2,125.3,7.626,14.4006,5.754,5.28882633089297,6.93368553074544,0.979728035958468,25.6628204665454,0.0338067119801233,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12402,PR Soapstone,03/08/2016,12:00,Grab,Stream,MED added artificial times and type assignments,-15.06,-119.2,15,2.225,2.4618,1.598,2.17431889955944,1.40722226252032,0.390822043802174,3.57586709262148,0.0113757026521091,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12403,PR Woodland,03/08/2016,12:00,Grab,Stream,MED added artificial times and type assignments,-16.26,-124.4,94.8,9.5336,21.9759,4.353,5.43880850326083,8.59600250637871,0.982292258291728,31.3157162512724,0.0124761376213729,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12404,PR Hailstone,03/08/2016,12:00,Grab,Stream,MED added artificial times and type assignments,-15.56,-123.4,114.7,12.789,13.6681,4.346,6.38299414846318,7.01643618208408,1.02606882417951,24.5503398954476,0.0207535021229723,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12406,PR Soapstone,03/22/2016,12:00,Grab,Stream,MED added artificial times and type assignments,-14.68,-118.2,12.3,2.7417,2.4872,1.636,1.5173946278287,1.04228228321376,0.316621250151663,2.79214340837591,0.00585475197621084,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12407,PR Woodland,03/22/2016,12:00,Grab,Stream,MED added artificial times and type assignments,-15.35,-121,68.7,8.1279,11.4978,3.68523464683282,4.26051999347806,4.7253410762641,0.621050134946583,17.7468306787778,0.00841501379534529,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12408,PR Hailstone,03/22/2016,12:00,Grab,Stream,MED added artificial times and type assignments,-15,-121.5,97.8,12.0735,12.3699,4.17020898345154,6.24967522727023,6.81490340312064,1.13659169182331,24.0043681666844,0.0179628029976092,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12409,PR Soapstone,04/07/2016,12:00,Grab,Stream,MED added artificial times and type assignments,-15.13,-119,12.6,2.8992,2.5963,3.47126953589845,1.99564541294993,1.06792966696476,0.498345044625463,3.01996682097044,0.00577671641515,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12410,PR Woodland,04/07/2016,12:00,Grab,Stream,MED added artificial times and type assignments,-15.16,-122.6,68.7,8.0206,8.83,3.58883800118507,4.38664015046846,3.85651907131226,0.675019664918294,14.7485590689552,0.00838524038576893,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12411,PR Hailstone,04/07/2016,12:00,Grab,Stream,MED added artificial times and type assignments,-15.68,-122.3,96.6,10.6425,10.6546,3.63281193615545,5.55276424360549,5.97699016390369,0.792039369778485,21.4841695841465,0.0143352285418791,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12452,PR Soapstone,04/14/2016,12:00,Grab,Stream,MED added artificial times and type assignments,-15.54,-121.1,10.7,2.486,2.5204,1.823,1.66781120455816,0.935652884919427,0.392686863398625,2.7706369159428,0.00461230789655301,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12453,PR Woodland,04/14/2016,12:00,Grab,Stream,MED added artificial times and type assignments,-15.28,-123.2,46.2,4.6475,5.4408,2.783,2.8453239256368,2.53047122622064,0.567713819876023,10.0137105365133,0.00809592010711729,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12454,PR Hailstone,04/14/2016,12:00,Grab,Stream,MED added artificial times and type assignments,-15.31,-123.3,77.6,6.4305,7.8314,3.123,4.20685088291042,4.5828884327223,0.707619177005138,17.7549908775767,0.0124280416262581,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12463,PR Soapstone,04/21/2016,12:00,Grab,Stream,MED added artificial times and type assignments,-14.95,-122,11.1,2.1387,2.1617,1.99175821985396,1.57580176756351,0.90943364403067,0.37722668283684,2.70087838124378,0.00391752600749823,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12464,PR Woodland,04/21/2016,12:00,Grab,Stream,MED added artificial times and type assignments,-15.4,-122.6,52.3,4.4734,5.8732,1.9841124260355,2.86930784976127,2.81821985463205,0.56863305274873,11.152526115658,0.00611202466491097,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12465,PR Hailstone,04/21/2016,12:00,Grab,Stream,MED added artificial times and type assignments,-15.26,-121.8,84.2,6.0429,7.7306,2.98891693945967,3.63460591330452,4.64901973451821,0.644325973768437,18.1226070176903,0.00948959764098,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12482,PR Soapstone,04/28/2016,12:00,Grab,Stream,MED added artificial times and type assignments,-14.98,-122,11.2,2.399,2.2693,1.633,1.5540616622248,0.894043563833851,0.369694360889134,2.72720245918137,0.00326842470839292,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12483,PR Woodland,04/28/2016,12:00,Grab,Stream,MED added artificial times and type assignments,-15.31,-123.5,48.6,4.9731,5.3183,2.593,2.97643400485285,2.64108464416965,0.537593005009725,10.6991083467194,0.00638206532829064,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12484,PR Hailstone,04/28/2016,12:00,Grab,Stream,MED added artificial times and type assignments,-15.38,-121,69.4,6.3606,7.1178,3.3500289632041,3.60765788369114,4.28255376796659,0.608626424955512,16.6763773151732,0.00984545823139467,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12486,PR Soapstone,05/04/2016,12:00,Grab,Stream,MED added artificial times and type assignments,-15.4,-122,13.1,2.3321,2.1186,1.86194059791606,1.67545949841878,1.04280856973815,0.452094288776656,3.22572794535504,0.00468258609744157,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12487,PR Woodland,05/04/2016,12:00,Grab,Stream,MED added artificial times and type assignments,-15.2,-122.7,51.3,2.7652,4.8286,2.639,2.46941270352245,2.43146690306515,0.543345885064257,10.0130230089624,0.00590411958118434,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12488,PR Hailstone,05/04/2016,12:00,Grab,Stream,MED added artificial times and type assignments,-15.12,-121.5,84,4.2469,6.6964,2.88518249049985,3.23340286457564,4.21598556358992,0.634726314449016,16.8486878016304,0.0103952843562377,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12513,PR Soapstone,05/12/2016,12:00,Grab,Stream,MED added artificial times and type assignments,-16.09,-119,16.3,1.5988,2.1055,1.667,1.19912123152631,1.07209110041718,0.368377193026125,3.85820587681082,0.0027146811422212,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
