Sample ID,Site,Type,Datetime,Baseflow,Soil water lysimeter ave,Snowmelt lysimeter,Sum Fractions
RI23-1005,Hungerford,Grab/Isco,2023-02-10 10:00:00,0.405314789657893,0.462974190601799,0.131711019740308,1
RI23-1007,Hungerford,Grab/Isco,2023-02-10 16:00:00,4.75184028622338E-13,0.339883488999411,0.660116511000114,1
RI23-1008,Hungerford,Grab/Isco,2023-02-11 12:30:00,0.0360780514847288,0.790216081064543,0.173705867450728,1
RI23-1027,Hungerford,Grab/Isco,2023-02-16 10:30:00,0.0868992753329952,0.861264221610474,0.0518365030565313,1
RI23-1033,Hungerford,Grab/Isco,2023-02-17 13:30:00,0.0684252690137691,0.40395119651866,0.527623534467571,1
RI23-1001,Hungerford,Baseflow,2023-02-09 13:40:00,0.999999999999997,1.38777878078145E-15,1.27675647831893E-15,1
RI23-1002,Hungerford,Grab/Isco,2023-02-09 16:00:00,1,4.9960036108132E-16,-5.55111512312578E-17,1
RI23-1003,Hungerford,Grab/Isco,2023-02-09 22:00:00,0.999999999999997,2.05391259555654E-15,1.49880108324396E-15,1
RI23-1035,Hungerford,Baseflow,2023-03-22 15:00:00,0.985407940035974,-8.58755692325235E-16,0.0145920599640269,1
RI23-1036,Hungerford,Grab/Isco,2023-03-22 18:00:00,0.89576231757677,-1.53319955763404E-16,0.10423768242323,1
RI23-1037,Hungerford,Grab/Isco,2023-03-23 00:00:00,0.390138049595853,-6.71557232415458E-15,0.609861950404154,1
RI23-1038,Hungerford,Grab/Isco,2023-03-23 06:00:00,0.441636063232659,5.17831442795E-16,0.558363936767341,1
RI23-1042,Hungerford,Grab/Isco,2023-03-23 12:00:00,0.601953774669107,0.0502625111924913,0.347783714138401,1
RI23-1043,Hungerford,Grab/Isco,2023-03-23 18:00:00,0.143078201111159,0.234940226220189,0.621981572668652,1
RI23-1044,Hungerford,Grab/Isco,2023-03-24 00:00:00,-1.01173367468244E-12,0.442468286071394,0.557531713929617,1
RI23-1045,Hungerford,Grab/Isco,2023-03-24 06:00:00,-1.94377619632363E-14,0.870815084755089,0.129184915244931,1
RI23-1046,Hungerford,Grab/Isco,2023-03-24 12:00:00,-1.73103412307659E-16,0.772034282762327,0.227965717237673,1
RI23-1047,Hungerford,Grab/Isco,2023-03-24 15:45:00,-1.98761279004784E-15,0.745479884041779,0.254520115958223,1
RI23-1085,Hungerford,Baseflow,2023-03-31 14:00:00,0.350927567995691,0.336090308667993,0.312982123336316,1
RI23-1086,Hungerford,Grab/Isco,2023-03-31 20:00:00,0.256779775619853,0.294244835212505,0.448975389167642,1
RI23-1087,Hungerford,Grab/Isco,2023-04-01 02:00:00,0.29719235107809,0.171116777065354,0.531690871856555,1
RI23-1088,Hungerford,Grab/Isco,2023-04-01 08:00:00,0.334083035231532,0.139027281096045,0.526889683672423,1
RI23-1089,Hungerford,Grab/Isco,2023-04-01 14:00:00,0.264863455734381,0.392758667587554,0.342377876678065,1
RI23-1099,Hungerford,Grab/Isco,2023-04-11 13:30:00,0.283103375054944,4.87457296749483E-15,0.716896624945051,1
RI23-1091,Hungerford,Grab/Isco,2023-04-02 02:00:00,3.53801243508146E-13,0.577530121009014,0.422469878990632,1
,,,,8.84164329242519,7.88505744447662,8.27329926309819,25
,,,,35.3665731697008,31.5402297779065,33.0931970523928,
