Sample ID,Site,Type,Datetime,Groundwater ave,Soil water lysimeter wet,Snowmelt lysimeter 3/28,Sum Fractions
RI23-1009,Wade,Grab/Isco,2023-02-15 15:00:00,0.999999999999998,1.609823385706477e-15,6.106226635438361e-16,1.0000000000000002
RI23-1010,Wade,Grab/Isco,2023-02-15 19:00:00,0.9999999999999953,2.4424906541753444e-15,2.3314683517128287e-15,1.0
RI23-1011,Wade,Grab/Isco,2023-02-15 23:00:00,0.9090825631857374,-1.1112765105316079e-16,0.09091743681426272,1.0
RI23-1025,Wade,Grab,2023-02-15 12:00:00,1.0000000000000013,-9.43689570931383e-16,-3.885780586188048e-16,1.0
RI23-1012,Wade,Grab/Isco,2023-02-16 03:00:00,0.5264334425844703,6.118993116019378e-15,0.47356655741552356,1.0
RI23-1014,Wade,Grab/Isco,2023-02-16 11:00:00,0.47432303957514166,0.004771432019831849,0.5209055284050264,0.9999999999999998
RI23-1028,Wade,Grab/Isco,2023-02-16 14:00:00,0.4817749735796351,2.554122820359883e-15,0.5182250264203624,1.0
RI23-1029,Wade,Grab/Isco,2023-02-16 20:00:00,0.46026509384427733,-1.2427938452658216e-15,0.539734906155724,1.0
RI23-1030,Wade,Grab/Isco,2023-02-17 02:00:00,0.5935897424565627,0.053975525929970625,0.3524347316134667,1.0
RI23-1031,Wade,Grab/Isco,2023-02-17 08:00:00,0.5446180429265457,4.119001333946791e-15,0.4553819570734502,1.0
RI23-1032,Wade,Baseflow,2023-02-17 11:30:00,0.6298149689334325,2.633814390542999e-14,0.3701850310665412,1.0
RI23-1039,Wade,Grab/Isco,2023-03-22 18:00:00,0.9409487100635032,0.059051289936495284,1.4636951414214325e-15,1.0
RI23-1040,Wade,Grab/Isco,2023-03-23 00:00:00,0.8191910509788484,0.1808089490211514,1.4312772595926071e-16,0.9999999999999999
RI23-1041,Wade,Grab/Isco,2023-03-23 06:00:00,0.659622982435051,0.34037701756495004,-9.54097911787244e-16,1.0000000000000002
RI23-1058,Wade,Grab/Isco,2023-03-24 06:00:00,-1.375379704618652e-15,0.4355227660589612,0.5644772339410403,1.0
RI23-1059,Wade,Grab/Isco,2023-03-24 12:00:00,0.04699730396962705,0.9530026960303313,4.161254674173165e-14,1.0
RI23-1064,Wade,Grab/Isco,2023-03-31 08:00:00,0.9106654566967547,0.08933454330324386,1.3332448532460532e-15,0.9999999999999999
RI23-1065,Wade,Grab/Isco,2023-03-31 14:00:00,0.8180077844778109,0.11779111525580914,0.06420110026638011,1.0
RI23-1066,Wade,Grab/Isco,2023-03-31 20:00:00,0.7914419125622246,0.20855808743777285,2.567499164662923e-15,1.0
RI23-1067,Wade,Grab/Isco,2023-04-01 02:00:00,0.805539978743876,0.19446002125612535,-1.4698528852385984e-15,0.9999999999999999
RI23-1068,Wade,Grab/Isco,2023-04-01 08:00:00,0.9036424822964935,0.09635751770350447,1.908912852029279e-15,0.9999999999999998
RI23-1070,Wade,Grab/Isco,2023-04-01 20:00:00,4.85918015690256e-16,0.7313931832151223,0.2686068167848773,1.0
RI23-1093,Wade,Grab/Isco,2023-04-10 06:00:00,0.2454311745784349,0.3530179638896615,0.40155086153190356,1.0
RI23-1094,Wade,Grab/Isco,2023-04-10 12:00:00,0.27735605697049137,0.16775181454335633,0.5548921284861523,1.0
RI23-1095,Wade,Grab/Isco,2023-04-10 18:00:00,0.087648216329556,0.16791569968281964,0.7444360839876244,1.0
RI23-1097,Wade,Grab/Isco,2023-04-11 06:00:00,4.83934632242195e-16,0.16136223076479522,0.8386377692352044,1.0
RI23-1100,Wade,Grab/Isco,2023-04-11 16:00:00,4.551914400963142e-15,-2.4980018054066022e-15,0.9999999999999978,0.9999999999999998
RI23-1101,Wade,Grab/Isco,2023-04-12 00:00:00,2.609024107869118e-15,-3.3306690738754696e-16,0.9999999999999976,0.9999999999999998
RI23-1071,Wade,Grab/Isco,2023-04-02 02:00:00,1.2323109893886142e-16,0.6273347395870986,0.3726652604129012,1.0
RI23-1072,Wade,Grab/Isco,2023-04-02 08:00:00,3.3196908870166313e-13,0.8705287727442749,0.12947122725539323,1.0
RI23-1073,Wade,Grab/Isco,2023-04-02 14:00:00,1.8230583261509093e-13,0.9489004267781874,0.05109957322163016,0.9999999999999999
RI23-1074,Wade,Grab/Isco,2023-04-02 20:00:00,-1.1102230246251565e-16,1.0,1.6653345369377348e-16,1.0
RI23-1075,Wade,Grab/Isco,2023-04-03 02:00:00,5.551115123125783e-17,1.0,-1.1102230246251565e-16,0.9999999999999999
RI23-1077,Wade,Grab/Isco,2023-04-03 14:00:00,0.2495473932762109,0.35083502947525197,0.3996175772485372,1.0
RI23-1078,Wade,Grab/Isco,2023-04-03 22:00:00,0.14696684844192695,0.8348374422012648,0.018195709356808455,1.0000000000000002
RI23-1080,Wade,Grab/Isco,2023-04-04 14:00:00,0.22549187883355223,0.5350445025574692,0.2394636186089788,1.0000000000000002
RI23-1081,Wade,Grab/Isco,2023-04-05 14:00:00,0.19660932387329033,0.6245505462714827,0.178840129855227,1.0
RI23-1082,Wade,Grab/Isco,2023-04-05 22:00:00,0.10750943176730739,-2.11503449303041e-15,0.8924905682326947,1.0
RI23-1048,Wade,Grab/Isco,2023-04-06 12:00:00,-9.992007221626409e-16,1.0547118733938987e-15,0.9999999999999998,0.9999999999999998
RI23-1049,Wade,Grab/Isco,2023-04-07 00:00:00,0.042458642737383895,0.02872737023426526,0.9288139870283509,1.0
RI23-1050,Wade,Grab/Isco,2023-04-07 06:00:00,-9.122606627078943e-16,0.026127794257375346,0.9738722057426256,1.0
RI23-1051,Wade,Grab/Isco,2023-04-07 12:00:00,-7.495115680642402e-16,0.326713165837587,0.6732868341624137,1.0
RI23-1052,Wade,Grab/Isco,2023-04-07 17:00:00,0.1397743644069222,4.259393930019987e-15,0.8602256355930736,1.0
