Ca_mg_L,Na_mg_L,Si_mg_L,Cl_mg_L,Mg_mg_L,Ca_mg_L,Na_mg_L,Si_mg_L,Cl_mg_L,Mg_mg_L
55.39,21.93,3.46,51.9588,8.09,0.4274620601086754,0.16092090883002882,0.02442307810748626,0.32523641933695235,0.06195753361685722
12.76,5.43,0.9,12.2724,2.57,0.4264828942893133,0.1611853145602467,0.023519181320076882,0.3269366733488018,0.06187593648156144
10.77,5.34,0.68,12.7062,2.41,0.43062519865551374,0.16006676141115542,0.02734306439998225,0.31974384709030174,0.06222112844304689
12.3,5.85,0.99,12.754000000000001,3.03,0.4257862342669622,0.16137343479308255,0.02287607394881483,0.3281463754998316,0.06181788149130865
15.82,6.66,0.96,15.5704,3.01,0.43001102298019067,0.1602326082623268,0.026776100757204022,0.3208103208532733,0.062169947147005175
18.34,7.77,0.94,16.8354,3.6,0.435682061273133,0.15870124861793486,0.032011203119749344,0.31096295341227326,0.0626425335769095
58.18,23.33,3.34,48.6871,9.82,0.4234517614645888,0.16200381626042945,0.020721053394957414,0.33220002675000954,0.06162334213001471
58.63,23.08,3.39,50.053000000000004,9.38,0.42426466215109104,0.16178430737300803,0.021471465944581467,0.3307884806909765,0.06169108384034296
54.94,21.97,3.47,51.5035,8.82,0.42692235893808606,0.16106664521020808,0.023924864072018208,0.32617357325138546,0.061912558528302186
11.9,6.7,0.82,13.4069,2.67,0.43019553693902624,0.16018278365953062,0.026946431023360872,0.32048992507091567,0.06218532330716654
13.34,7.05,0.63,14.479000000000001,2.98,0.43703659159444136,0.15833548260402197,0.033261609926920045,0.30861090479350445,0.06275541108111203
14.61,8.14,0.91,15.2759,3.07,0.4327688989177713,0.1594878945614325,0.02932197720709557,0.31602145921785696,0.06239977009584371
19.68,11.14,1.65,21.6271,3.82,0.42129613131206417,0.16258590455772043,0.018731127755008934,0.335943130055312,0.061443706319894445
39.4,17.82,2.67,35.8568,6.98,0.4301437635614424,0.1601967641084344,0.02689863749467964,0.32057982597554624,0.062181008859897365
13.61,7.24,1.21,16.1357,2.91,0.4239227258409882,0.1618766409879821,0.02115581447259492,0.33138222954490193,0.06166258915353274
19.66,11.12,1.34,25.1635,3.98,0.44234048705323964,0.1569032631330681,0.03815779193323853,0.29940105559949776,0.0631974022809561
