Sample ID,Cl_mg_L,IC-notes_MED
RI25-1116,12.588,Run 2025-10-06
RI25-1131,656.644,Run 2025-10-06
RI25-1007,1314.974,Run 2025-10-06
RI25-1011,252.744,Run 2025-10-06
RI25-1124,13.863,Run 2025-10-06
RI25-1125,4.895,Run 2025-10-06
RI25-1122,27.347,Run 2025-10-06
RI25-1261,414.602,Run 2025-10-06
RI25-1077,26.842,Run 2025-10-06
RI25-1001,1097.026,Run 2025-10-06
RI25-1019,113.129,Run 2025-10-06
RI25-1109,389.777,Run 2025-10-06
RI25-1010,511.23,Run 2025-10-06
RI25-1114,7.264,Run 2025-10-06
RI25-1021,168.58,Run 2025-10-06
RI25-1072,19.252,Run 2025-10-06
RI25-1245,18.37,Run 2025-10-06
RI25-1068,43.055,Run 2025-10-06
RI25-1289,5.252,Run 2025-10-06
RI25-1037,46.172,Run 2025-10-06
RI25-1265,590.673,Run 2025-10-06
RI25-1184,1212.859,Run 2025-10-06
RI25-1181,871.076,Run 2025-10-06
RI25-1182,44.872,Run 2025-10-06
RI25-1076,19.036,Run 2025-10-06
RI25-1269,325.382,Run 2025-10-06
RI25-1284,24.585,Run 2025-10-06
RI25-1273,344.863,Run 2025-10-06
RI25-1285,19.298,Run 2025-10-06
RI25-1262,41.745,Run 2025-10-06
RI25-1281,469.364,Run 2025-10-06
RI25-1194,267.158,Run 2025-10-06
RI25-1133,7.758,Run 2025-10-06
RI25-1278,334.348,Run 2025-10-06
RI25-1288,11.373,Run 2025-10-06
RI25-1226,412.207,Run 2025-10-06
RI25-1030,309.082,Run 2025-10-06
RI25-1286,5.002,Run 2025-10-06
RI25-1200,2.533,Run 2025-10-06
RI25-1228,1.975,Run 2025-10-06
RI25-1143,1059.365,Run 2025-10-06
RI25-1131,706.989,Run 2025-10-06
RI25-1189,1452.769,Run 2025-10-06
RI25-1033,46.315,Run 2025-10-06
RI25-1088,308.348,Run 2025-10-06
RI25-1283,27.088,Run 2025-10-06
RI25-1078,309.98,Run 2025-10-06
RI25-1024,512.394,Run 2025-10-06
RI25-1082,326.886,Run 2025-10-06
RI25-1287,2.223,Run 2025-10-06
RI24-1110,93.733,Run 2025-10-06
RI25-1004,1031.256,Run 2025-10-06
RI25-1113,10.22,Run 2025-10-06
RI25-1205,18.413,Run 2025-10-06
RI25-1199,342.941,Run 2025-10-06
RI25-1202,26.16,Run 2025-10-06
RI25-1203,419.443,Run 2025-10-06
RI25-1230,1.872,Run 2025-10-06
RI25-1132,6.847,Run 2025-10-06
RI25-1168,16.848,Run 2025-10-06
RI25-1198,17.377,Run 2025-10-06
RI25-1149,46.277,Run 2025-10-06
