Sample ID,Site,Date,Time,Type,Type2,Index-notes,ICP-notes,Fe_mg_L,Mn_mg_L,Cu_mg_L,Zn_mg_L,Si_mg_L,K_mg_L,P_mg_L,Mg_mg_L,Na_mg_L,Al_mg_L,Ca_mg_L,Fl_mg_L,Cl_mg_L,NO2_mg_L,Br_mg_L,NO3_mg_L,PO4_mg_L,SO4_mg_L,IC-notes,NRS_LWIA_notes,dD,d18O,iso-notes
RI23-1001,Hungerford,02/9/2023,13:40,Grab/Isco,Stream,need to verify type,,0.07070274,0.065629733,0.000484385,0.03255743,3.058230455,2.587608353,0.034568565,8.758447425,19.9942659,-0.083201787,57.31774663,,36.24354745,,,13.79784939,,50.59468528,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-66.095,-9.827,
RI23-1002,Hungerford,02/9/2023,16:00,Grab/Isco,Stream,need to verify type,,0.06642303,0.068312251,-0.000212807,0.02399678,3.025307521,2.42615384,0.028481244,8.901892075,21.65424121,-0.085777963,64.01730457,0.001488139,36.58841901,0.793567672,,13.73243499,,48.18684922,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-66.847,-9.862,
RI23-1003,Hungerford,02/9/2023,22:00,Grab/Isco,Stream,need to verify type,,0.082406714,0.052983714,-0.0000716263,-0.007114412,2.817823734,2.326500989,0.030483384,8.663945967,20.47346407,-0.051498708,52.87541848,0.039951549,34.27060158,0.793551784,,12.65017776,,45.78276962,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-67.317,-9.8,
RI23-1004,Hungerford,02/10/2023,4:00,Grab/Isco,Stream,need to verify type,,,,,,,,,,,,,,19.93285684,,,12.13270472,1.608650899,19.33643425,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-72.393,-10.536,
RI23-1005,Hungerford,02/10/2023,10:00,Grab/Isco,Stream,need to verify type,,0.05985216,0.036704559,0.000798254,-0.005531601,2.127724577,3.346318279,0.089466635,6.439820672,15.18550491,-0.052922472,43.3871675,0.001115392,25.14337379,0.794758979,,11.79256393,1.597841645,33.67334809,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-78.866,-11.598,
RI23-1007,Hungerford,02/10/2023,16:00,Grab/Isco,Stream,need to verify type,,0.082126397,0.033194773,0.002213523,-0.012900553,1.24524998,4.098671691,0.071499685,3.620690446,10.15168174,-0.016383218,22.33848448,0.045780175,16.50393641,0.794017159,,11.88205455,1.60265606,16.17502768,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-80.652,-11.977,
RI23-1008,Hungerford,02/11/2023,12:30,Grab/Isco,Stream,need to verify type,,0.074341045,0.017434733,0.00111115,-0.011289398,2.069521638,3.418112019,0.044272156,5.359727691,12.07524719,-0.036117375,34.73109392,0.219767087,19.9861589,,,17.57750099,,27.1699378,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-75.973,-11.294,
RI23-1026,Hungerford,02/15/2023,14:00,Grab/Isco,Stream,need to verify type,,,,,,,,,,,,,,36.0978,,,25.2192,1.6233,24.5824,There is no 33 - though there are 2 34s,,-71.186,-10.577,
RI23-1027,Hungerford,02/16/2023,10:30,Grab/Isco,Stream,need to verify type,,0.090109524,0.009449742,0.000991606,0.026253344,2.347823331,3.006947951,0.024201031,5.451364482,11.16684538,0.003050048,32.10081128,0.1184,23.8431,0.4163,,15.7319,1.613,17.4841,,,-74.385,-11.008,
RI23-1033,Hungerford,02/17/2023,13:30,Grab/Isco,Stream,need to verify type,,-0.002685641,-0.012631921,0.000548769,-0.014051836,1.915448603,2.611894333,0.002842557,5.969457735,12.58502882,-0.04164915,23.75394204,0.0997,28.1505,,,17.758,1.2211,20.3349,,,-72.18,-10.942,
