"datetime","q_cms_hb","q_cms_mb","q_cms_pred","q_cms_hb_filled","type","NO3","year","TP","TDP","SRP","PP","NO3_source","TP_source","TDP_source","PP_source","SRP_source","Sample.ID","Site","Date","Time","Type","Type2","Index.notes","NRS_LWIA_notes","dD","d18O","iso.notes"
NA,NA,NA,NA,NA,NA,2.941366076,2023,0.025110591,0.0001988,0.000113,0.000235,"sensor","sensor","sensor","sensor","sensor","RI23-1020",NA,NA,NA,NA,"Stream","no info only ICP log",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,2.941366076,2023,0.014856126,0.0001988,0.000113,0.000235,"sensor","sensor","sensor","sensor","sensor","RI23-1020",NA,NA,NA,NA,"Stream","no info only ICP log",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,2.941366076,2023,0.008730155,0.0001988,0.000113,0.000235,"sensor","sensor","sensor","sensor","sensor","RI23-1020",NA,NA,NA,NA,"Stream","no info only ICP log",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,2.941366076,2023,0.018316888,0.0001988,0.000113,0.000235,"sensor","sensor","sensor","sensor","sensor","RI23-1020",NA,NA,NA,NA,"Stream","no info only ICP log",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,2.941366076,2023,0.137343954,0.020672334,0.000113,0.089084364,"sensor","sensor","sensor","sensor","sensor","RI23-1020",NA,NA,NA,NA,"Stream","no info only ICP log",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,2.941366076,2023,0.107959477,0.0001988,0.000113,0.082817837,"sensor","sensor","sensor","sensor","sensor","RI23-1020",NA,NA,NA,NA,"Stream","no info only ICP log",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,2.941366076,2023,0.081109682,0.002690565,0.000113,0.061134483,"sensor","sensor","sensor","sensor","sensor","RI23-1020",NA,NA,NA,NA,"Stream","no info only ICP log",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,2.941366076,2023,0.077836096,0.0001988,0.000113,0.050155527,"sensor","sensor","sensor","sensor","sensor","RI23-1020",NA,NA,NA,NA,"Stream","no info only ICP log",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,2.936402467,2023,0.025110591,0.0001988,0.000113,0.000235,"sensor","sensor","sensor","sensor","sensor","RI23-1020",NA,NA,NA,NA,"Stream","no info only ICP log",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,2.936402467,2023,0.014856126,0.0001988,0.000113,0.000235,"sensor","sensor","sensor","sensor","sensor","RI23-1020",NA,NA,NA,NA,"Stream","no info only ICP log",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,2.936402467,2023,0.008730155,0.0001988,0.000113,0.000235,"sensor","sensor","sensor","sensor","sensor","RI23-1020",NA,NA,NA,NA,"Stream","no info only ICP log",NA,NA,NA,NA
